2,2,2,2,2,2,2,2,2,38,31,31,31,31,31,31,31,31,31,36,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,38,58,0,0,0,0,0,0,0,0,0,59,36,2,2,2,2,2,2,2
2,2,2,2,2,2,2,38,58,0,0,0,0,0,0,0,0,0,0,0,59,31,36,2,2,2,2,2
2,2,2,2,2,38,31,58,0,0,60,33,33,33,33,33,33,33,57,0,0,0,59,36,2,2,2,2
2,2,2,2,38,58,0,0,0,0,32,2,2,2,2,2,2,2,34,0,0,0,0,59,36,2,2,2
2,2,2,38,58,46,39,39,44,0,32,2,2,2,2,2,2,38,58,0,0,0,0,0,32,2,2,2
2,2,2,34,0,42,1,1,62,44,59,31,31,31,31,31,31,58,46,39,39,44,0,0,32,2,2,2
2,2,2,34,0,42,1,1,1,40,0,0,0,0,0,0,0,46,63,1,1,40,0,0,32,2,2,2
2,2,2,34,0,42,1,1,1,40,0,0,0,0,0,0,0,42,1,1,1,62,44,0,32,2,2,2
2,2,2,34,0,45,64,1,61,43,0,0,68,9,65,0,0,45,64,1,1,1,40,0,32,2,2,2
2,2,2,34,0,0,45,41,43,68,9,9,13,70,14,65,0,0,45,41,41,41,43,60,35,2,2,2
2,2,2,37,57,0,0,0,0,8,70,69,69,70,69,10,0,0,0,0,0,60,33,35,2,2,2,2
2,2,2,2,37,33,57,0,0,67,11,11,11,11,11,66,0,0,0,60,33,35,2,2,2,2,2,2
2,2,2,2,2,2,37,57,0,0,0,0,0,0,0,0,0,60,33,35,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,37,57,0,0,0,0,0,0,0,60,35,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,37,33,33,33,33,33,33,33,35,2,2,2,2,2,2,2,2,2,2,2
