2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,2,2,2,2,2,2,2,74,23,23,23,23,71,2,2,2,2
2,2,2,2,2,74,23,23,23,71,2,2,2,2,2,2,2,2,2,18,74,23,30,0,0,0,0,28,23,71,2,2
2,2,74,23,23,30,0,0,0,28,23,71,2,2,74,23,23,23,23,23,30,0,0,0,0,0,0,0,0,24,2,2
2,2,26,0,0,46,39,39,39,44,0,28,23,23,30,0,0,0,0,0,0,0,46,39,39,39,44,0,0,28,71,2
2,2,26,0,0,42,1,1,1,62,44,0,0,0,0,0,0,0,0,0,0,0,42,1,1,1,62,44,0,0,28,23
2,2,26,0,0,42,1,1,1,1,40,0,0,0,0,0,0,0,0,0,53,0,42,1,1,1,1,40,0,0,0,0
2,2,26,0,0,42,1,1,1,1,40,56,48,48,48,48,48,48,48,48,51,0,45,64,1,1,1,40,0,0,0,0
2,2,26,0,0,45,64,1,1,61,43,0,0,0,0,0,0,0,0,0,47,0,0,45,41,41,41,43,0,0,0,0
2,2,73,25,29,0,45,41,41,43,0,0,0,0,27,25,25,25,29,0,47,0,0,0,0,0,0,0,0,0,0,0
2,19,2,2,73,29,0,53,0,0,0,0,27,25,72,2,2,2,73,29,47,0,0,0,0,0,0,0,0,68,9,9
2,2,2,2,2,26,0,47,0,0,27,25,72,2,2,18,2,2,2,26,47,0,0,46,39,44,0,0,0,8,69,69
2,2,2,2,2,26,0,47,0,0,24,2,2,2,2,2,2,20,2,26,47,0,0,42,1,40,0,0,0,8,69,69
2,2,2,2,2,26,0,47,0,0,24,2,2,2,2,2,2,2,2,26,47,0,0,45,41,43,0,0,0,8,69,69
2,2,2,2,2,26,0,47,0,0,24,2,2,2,19,2,2,2,74,30,47,0,0,0,0,0,0,0,0,8,69,69
2,2,2,18,2,26,0,47,0,0,28,23,23,23,71,2,2,2,26,0,47,0,0,68,9,9,65,0,0,8,69,69
23,23,23,23,23,30,0,47,0,0,0,0,0,0,28,23,23,23,30,0,47,0,0,8,69,69,10,0,0,8,69,69
0,0,0,0,0,0,0,52,48,48,48,48,48,48,48,48,48,48,48,48,51,0,0,67,11,11,66,0,0,8,69,69
0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,8,69,69
0,0,0,0,0,0,0,47,0,0,0,68,9,9,9,9,9,65,0,0,47,0,0,0,0,0,0,0,0,8,69,69
0,0,0,56,48,48,48,51,0,0,0,8,69,69,69,69,69,10,0,0,47,0,0,0,0,0,0,0,0,67,11,11
0,0,0,0,0,0,0,47,0,0,0,8,69,69,69,69,69,10,0,0,47,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,47,0,0,0,8,69,69,69,69,69,10,0,0,52,48,48,48,48,48,48,48,48,48,48,48
0,0,0,0,0,0,0,54,0,0,0,67,11,11,11,11,11,66,0,0,47,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,46,39,39,39,44,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,42,1,1,1,40,0,0,0,0
0,0,46,39,39,39,44,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,42,1,1,1,62,44,0,0,0
0,0,42,1,1,1,62,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,1,1,1,40,0,0,0
0,0,42,1,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,64,1,1,61,43,0,0,0
0,0,42,1,1,1,1,40,0,0,0,68,9,9,9,9,9,9,9,9,9,65,0,0,45,41,41,43,0,0,0,0
0,0,45,41,41,41,41,43,0,0,0,8,69,69,69,69,69,69,69,69,69,10,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8,69,69,69,69,69,69,69,69,69,10,0,0,0,0,0,0,0,0,0,0
